state,workload,method,query,repetition,query_ms,process_wall_ms,input_bytes,resident_before,resident_after,result_sha256,returncode,oracle_cache_changed
warm,job,oracle,05c,1,336.0,380.48812095075846,0,2051026944,2051026944,0a44fcc5bef54de451146dd745d4d781a3380418a3c12f5815155dba103852f8,0,False
warm,job,oracle,05c,2,345.0,390.1557885110378,0,2051026944,2051026944,0a44fcc5bef54de451146dd745d4d781a3380418a3c12f5815155dba103852f8,0,False
warm,job,oracle,06a,1,245.0,280.80360870808363,0,2051026944,2051026944,cf310956cc4f000731fef95254b0dfd93426ecd7233b52acdac68b464d3d8145,0,False
warm,job,oracle,06a,2,246.0,285.1801738142967,0,2051026944,2051026944,cf310956cc4f000731fef95254b0dfd93426ecd7233b52acdac68b464d3d8145,0,False
warm,job,oracle,06b,1,255.0,296.5662246569991,0,2051026944,2051026944,b4a02d69e1c21434a3dfc3acedede1e4dda199f7066ad4c928822e8b7ea60735,0,False
warm,job,oracle,06b,2,255.0,294.61192805320024,0,2051026944,2051026944,b4a02d69e1c21434a3dfc3acedede1e4dda199f7066ad4c928822e8b7ea60735,0,False
warm,job,oracle,06c,1,250.0,290.19307158887386,0,2051026944,2051026944,602cf449fd5db5c02abb4d93217cbcfb1a376d067aa2741782059554b327ec66,0,False
warm,job,oracle,06c,2,251.0,286.71835362911224,0,2051026944,2051026944,602cf449fd5db5c02abb4d93217cbcfb1a376d067aa2741782059554b327ec66,0,False
warm,job,oracle,06d,1,267.0,308.002233505249,0,2051026944,2051026944,9a9ee192e30a2f15657b1e9167674da6b93ad923e9ab1dd4b739d44171396d8e,0,False
warm,job,oracle,06d,2,266.0,303.09706926345825,0,2051026944,2051026944,9a9ee192e30a2f15657b1e9167674da6b93ad923e9ab1dd4b739d44171396d8e,0,False
warm,job,oracle,06e,1,245.0,281.73211961984634,0,2051026944,2051026944,cf310956cc4f000731fef95254b0dfd93426ecd7233b52acdac68b464d3d8145,0,False
warm,job,oracle,06e,2,250.0,289.26305938512087,0,2051026944,2051026944,cf310956cc4f000731fef95254b0dfd93426ecd7233b52acdac68b464d3d8145,0,False
warm,job,oracle,06f,1,522.0,564.3426813185215,0,2051026944,2051026944,e4a64849d1f6928d6e8361ed308dae1e3819474d48c3a29a6dfa27d82fff1908,0,False
warm,job,oracle,06f,2,520.0,563.7329537421465,0,2051026944,2051026944,e4a64849d1f6928d6e8361ed308dae1e3819474d48c3a29a6dfa27d82fff1908,0,False
warm,job,oracle,07a,1,205.0,245.5186117440462,0,2051026944,2051026944,08741fe3bcce22e88389f67304210ef54b78298b7322a3d34c0133c680a95d2b,0,False
warm,job,oracle,07a,2,205.0,244.01045124977827,0,2051026944,2051026944,08741fe3bcce22e88389f67304210ef54b78298b7322a3d34c0133c680a95d2b,0,False
warm,job,oracle,07b,1,136.0,174.29720982909203,0,2051026944,2051026944,6a942eeb51fb268cf3508ce35d269c80439e4679fd64d6152670806a1d13b84b,0,False
warm,job,oracle,07b,2,137.0,173.390437848866,0,2051026944,2051026944,6a942eeb51fb268cf3508ce35d269c80439e4679fd64d6152670806a1d13b84b,0,False
warm,job,oracle,07c,1,850.0,919.3843994289637,0,2051026944,2051026944,ea1d6d27f02203c5685bda10c3e3802698af63bdf664dfdf2bea727c6dd5670c,0,False
warm,job,oracle,07c,2,888.0,947.8550786152482,0,2051026944,2051026944,ea1d6d27f02203c5685bda10c3e3802698af63bdf664dfdf2bea727c6dd5670c,0,False
warm,job,oracle,08a,1,358.0,424.8299365863204,0,2051026944,2051026944,82d80bc79518fce643c8cb8b25066d30449435af2260dd5d5130a84a6fbbf710,0,False
warm,job,oracle,08a,2,358.0,397.75769133120775,0,2051026944,2051026944,82d80bc79518fce643c8cb8b25066d30449435af2260dd5d5130a84a6fbbf710,0,False
warm,job,oracle,08b,1,295.0,337.03395538032055,0,2051026944,2051026944,18fc8befbe97194bb0dd0938fccaf37f393f6de2218ebde02f13c90e195d8dd0,0,False
warm,job,oracle,08b,2,295.0,337.30214182287455,0,2051026944,2051026944,18fc8befbe97194bb0dd0938fccaf37f393f6de2218ebde02f13c90e195d8dd0,0,False
warm,job,oracle,08c,1,794.0,850.7734788581729,0,2051026944,2051026944,7465829d867dd355db1eccde557ebf271ae12a72c816573a22efe46278831014,0,False
warm,job,oracle,08c,2,790.0,859.6620438620448,0,2051026944,2051026944,7465829d867dd355db1eccde557ebf271ae12a72c816573a22efe46278831014,0,False
warm,job,oracle,08d,1,227.0,268.57482828199863,0,2051026944,2051026944,30be15026c3210110c0445cfe84716b68d95bfc15fdf5e032a18f40bc001205a,0,False
warm,job,oracle,08d,2,225.0,266.061550937593,0,2051026944,2051026944,30be15026c3210110c0445cfe84716b68d95bfc15fdf5e032a18f40bc001205a,0,False
warm,job,oracle,09a,1,459.0,502.8210896998644,0,2051026944,2051026944,2d514cc6a3833e1894724993543e6ce79601fd41a1c3863be4b52e6fbb07849d,0,False
warm,job,oracle,09a,2,430.0,472.834556363523,0,2051026944,2051026944,2d514cc6a3833e1894724993543e6ce79601fd41a1c3863be4b52e6fbb07849d,0,False
warm,job,oracle,09b,1,426.0,469.8548773303628,0,2051026944,2051026944,edf89578cbaedd8aef3f84b6a08b2ec20528f53f87d3951a7786bc8a20366c62,0,False
warm,job,oracle,09b,2,424.0,466.0178069025278,0,2051026944,2051026944,edf89578cbaedd8aef3f84b6a08b2ec20528f53f87d3951a7786bc8a20366c62,0,False
warm,job,oracle,09c,1,438.0,479.0752464905381,0,2051026944,2051026944,dda7dae742f7fc0d1fb9bfc4609eee02da0dbca4760c238b79e66bea0ae1f058,0,False
warm,job,oracle,09c,2,438.0,478.7176363170147,0,2051026944,2051026944,dda7dae742f7fc0d1fb9bfc4609eee02da0dbca4760c238b79e66bea0ae1f058,0,False
warm,job,oracle,09d,1,664.0,705.76161891222,0,2051026944,2051026944,d63b63c0a973d52de0ee2e3fefab4473a0da6db29ef718b8966a02091acf5790,0,False
warm,job,oracle,09d,2,665.0,708.9241975918412,0,2051026944,2051026944,d63b63c0a973d52de0ee2e3fefab4473a0da6db29ef718b8966a02091acf5790,0,False
warm,job,oracle,10a,1,448.0,490.7832993194461,0,2051026944,2051026944,f2420b69488a1f88d1fc4ce7e4377bdcc29a9d80a23f0f4c6d652867187b4273,0,False
warm,job,oracle,10a,2,442.0,485.50429474562407,0,2051026944,2051026944,f2420b69488a1f88d1fc4ce7e4377bdcc29a9d80a23f0f4c6d652867187b4273,0,False
warm,job,oracle,10b,1,256.0,294.7411360219121,0,2051026944,2051026944,c8833f4b90af0029c8e3899bd120360cb70a0771d4a3ca840e2a2cd697e07a33,0,False
warm,job,oracle,10b,2,258.0,296.60707991570234,0,2051026944,2051026944,c8833f4b90af0029c8e3899bd120360cb70a0771d4a3ca840e2a2cd697e07a33,0,False
warm,job,oracle,10c,1,1038.0,1084.9978988990188,0,2051026944,2051026944,64bec1355ab6fa5d48fd78d86f0a54536c63a290f48b0c34b236b1ab6679b9d9,0,False
warm,job,oracle,10c,2,1074.0,1132.1470700204372,0,2051026944,2051026944,64bec1355ab6fa5d48fd78d86f0a54536c63a290f48b0c34b236b1ab6679b9d9,0,False
warm,job,oracle,11a,1,36.0,71.68649509549141,0,2051026944,2051026944,75aef14b7b200510998732f66bf24b5eb353a77d15b16d358bff021a433c32ad,0,False
warm,job,oracle,11a,2,37.0,77.1962022408843,0,2051026944,2051026944,75aef14b7b200510998732f66bf24b5eb353a77d15b16d358bff021a433c32ad,0,False
warm,job,oracle,11b,1,161.0,196.50870747864246,0,2051026944,2051026944,fcae141de9c9e5fa0f5988e485096c9c00b1640e64fffdfeaa2a7c84c5bde5f6,0,False
warm,job,oracle,11b,2,160.0,208.3717007189989,0,2051026944,2051026944,fcae141de9c9e5fa0f5988e485096c9c00b1640e64fffdfeaa2a7c84c5bde5f6,0,False
warm,job,oracle,11c,1,51.0,86.46287303417921,0,2051026944,2051026944,13579a62e4c5df28771ad00eb6fb65c4f1e9d372b2abbb37fb8dd637b81ee964,0,False
warm,job,oracle,11c,2,50.0,84.26571451127529,0,2051026944,2051026944,13579a62e4c5df28771ad00eb6fb65c4f1e9d372b2abbb37fb8dd637b81ee964,0,False
warm,job,oracle,11d,1,41.0,77.24757585674524,0,2051026944,2051026944,765a32eeb9d4b8a1e5ddb591407860e7fe93f4d1918d3b1a0f6a3c66fe2e858a,0,False
warm,job,oracle,11d,2,42.0,76.66666619479656,0,2051026944,2051026944,765a32eeb9d4b8a1e5ddb591407860e7fe93f4d1918d3b1a0f6a3c66fe2e858a,0,False
warm,job,oracle,12a,1,107.0,144.6638209745288,0,2051026944,2051026944,02c6bcaa6a3333b31881aaacd682070a6fc21572445569086b5e2aab06ca69cf,0,False
warm,job,oracle,12a,2,107.0,144.3664999678731,0,2051026944,2051026944,02c6bcaa6a3333b31881aaacd682070a6fc21572445569086b5e2aab06ca69cf,0,False
warm,job,oracle,12b,1,100.0,144.48306243866682,0,2051026944,2051026944,75049d679134f8dadd2fcb4dd808286ffde11e0cd485eab3f05ede5fe04ba3e9,0,False
warm,job,oracle,12b,2,98.0,136.5649988874793,0,2051026944,2051026944,75049d679134f8dadd2fcb4dd808286ffde11e0cd485eab3f05ede5fe04ba3e9,0,False
warm,job,oracle,12c,1,131.0,176.00471805781126,0,2051026944,2051026944,61c1ba0c98c3c0a6c9ce5f81482b81183a9352a065a407e62323a315acc5c9c4,0,False
