state,workload,query,oracle_ms,prepared_ms,instant_ms,instant_over_prepared,prepared_input_bytes,instant_input_bytes,prepared_instant_hash_match
cold,job,14a,144.000,139.000,152.000,1.093525,50397184,69042176,true
cold,job,14b,164.000,130.000,152.000,1.169231,40763392,65372160,true
cold,job,14c,188.000,186.000,184.000,0.989247,72187904,84246528,true
cold,job,15a,508.000,440.000,395.000,0.897727,178946048,123863040,true
cold,job,15b,520.000,224.000,241.000,1.075893,73990144,97615872,true
cold,job,15c,365.000,374.000,361.000,0.965241,105185280,117866496,true
cold,job,15d,280.000,276.000,269.000,0.974638,95256576,103940096,true
cold,job,16a,566.000,558.000,545.000,0.976703,224702464,231550976,true
cold,job,16b,1417.000,1369.000,1330.000,0.971512,255799296,253276160,true
cold,job,16c,681.000,667.000,651.000,0.976012,239382528,244396032,true
cold,job,16d,662.000,653.000,632.000,0.967841,239382528,244396032,true
cold,job,17a,547.000,378.000,355.000,0.939153,110690304,116260864,true
cold,job,17b,480.000,348.000,349.000,1.002874,115113984,120193024,true
cold,job,17c,517.000,337.000,331.000,0.982196,114065408,120455168,true
cold,job,17d,739.000,680.000,653.000,0.960294,251887616,248184832,true
cold,job,17e,875.000,864.000,853.000,0.987269,252510208,247824384,true
cold,job,17f,884.000,927.000,893.000,0.963323,251658240,246415360,true
cold,job,18a,772.000,801.000,776.000,0.968789,294584320,328433664,true
cold,job,18b,817.000,877.000,853.000,0.972634,319389696,336199680,true
cold,job,18c,1139.000,1171.000,1146.000,0.978651,328040448,337510400,true
cold,job,19a,590.000,488.000,473.000,0.969262,171180032,198586368,true
cold,job,19b,472.000,403.000,407.000,1.009926,120160256,161284096,true
cold,job,19c,586.000,660.000,641.000,0.971212,193921024,225390592,true
cold,job,19d,851.000,842.000,847.000,1.005938,162463744,185511936,true
cold,job,20a,1030.000,977.000,969.000,0.991812,312934400,318394368,true
cold,job,20b,673.000,554.000,584.000,1.054152,126222336,151879680,true
cold,job,20c,1055.000,1054.000,1048.000,0.994307,353140736,357683200,true
cold,job,21a,138.000,112.000,177.000,1.580357,47280128,91058176,true
cold,job,21b,145.000,94.000,161.000,1.712766,31555584,76120064,true
cold,job,21c,150.000,117.000,176.000,1.504274,48066560,91844608,true
cold,job,22a,279.000,277.000,272.000,0.981949,97386496,110985216,true
cold,job,22b,279.000,273.000,259.000,0.948718,95289344,110198784,true
cold,job,22c,299.000,293.000,286.000,0.976109,97386496,111247360,true
cold,job,22d,262.000,249.000,243.000,0.975904,88997888,101318656,true
cold,job,23a,304.000,381.000,316.000,0.829396,113868800,99516416,true
cold,job,23b,504.000,296.000,210.000,0.709459,67239936,100270080,true
cold,job,23c,411.000,321.000,334.000,1.040498,67731456,99254272,true
cold,job,24a,620.000,686.000,710.000,1.034985,264208384,282537984,true
cold,job,24b,499.000,498.000,528.000,1.060241,163938304,210284544,true
cold,job,25a,1071.000,1096.000,1104.000,1.007299,344817664,363200512,true
cold,job,25b,556.000,606.000,614.000,1.013201,240582656,269844480,true
cold,job,25c,1149.000,1174.000,1177.000,1.002555,358973440,371326976,true
cold,job,26a,1060.000,1053.000,1034.000,0.981956,360972288,364761088,true
cold,job,26b,962.000,914.000,902.000,0.986871,298876928,305950720,true
cold,job,26c,1005.000,1007.000,1001.000,0.994042,319782912,326520832,true
cold,job,27a,130.000,100.000,162.000,1.620000,36270080,79785984,true
cold,job,27b,99.000,95.000,167.000,1.757895,33124352,79523840,true
cold,job,27c,134.000,104.000,168.000,1.615385,36270080,79785984,true
cold,job,28a,263.000,246.000,237.000,0.963415,96174080,109150208,true
cold,job,28b,193.000,213.000,183.000,0.859155,85094400,82149376,true
cold,job,28c,261.000,262.000,256.000,0.977099,97386496,111509504,true
cold,job,29a,500.000,512.000,529.000,1.033203,162627584,211890176,true
cold,job,29b,791.000,492.000,538.000,1.093496,160006144,209006592,true
cold,job,29c,576.000,593.000,610.000,1.028668,207810560,245243904,true
cold,job,30a,973.000,979.000,949.000,0.969356,361889792,362151936,true
cold,job,30b,742.000,730.000,738.000,1.010959,262242304,292388864,true
cold,job,30c,1102.000,1144.000,1108.000,0.968531,355074048,361627648,true
cold,job,31a,954.000,972.000,966.000,0.993827,365854720,384204800,true
cold,job,31b,772.000,701.000,818.000,1.166904,284819456,330629120,true
cold,job,31c,1006.000,1011.000,997.000,0.986152,378208256,393904128,true
cold,job,32a,8.000,11.000,32.000,2.909091,4030464,20545536,true
cold,job,32b,84.000,87.000,92.000,1.057471,42303488,50167808,true
cold,job,33a,112.000,92.000,95.000,1.032609,28672000,40239104,true
cold,job,33b,79.000,88.000,90.000,1.022727,27066368,40763392,true
cold,job,33c,117.000,102.000,109.000,1.068627,32112640,46006272,true
cold,tpch_sf10,q01,2454.000,2301.000,2292.000,0.996089,616169472,616169472,true
cold,tpch_sf10,q02,290.000,259.000,255.000,0.984556,78970880,78970880,true
cold,tpch_sf10,q03,1899.000,1801.000,1767.000,0.981122,783867904,772734976,true
cold,tpch_sf10,q04,1771.000,1583.000,1575.000,0.994946,577273856,577273856,true
cold,tpch_sf10,q05,2018.000,1909.000,1857.000,0.972761,733503488,727318528,true
cold,tpch_sf10,q06,1389.000,1268.000,1276.000,1.006309,615088128,614825984,true
cold,tpch_sf10,q07,2087.000,1998.000,1994.000,0.997998,894197760,884899840,true
cold,tpch_sf10,q08,2259.000,2224.000,2167.000,0.974371,929624064,929169408,true
cold,tpch_sf10,q09,3633.000,3392.000,3321.000,0.979068,1145143296,1126563840,true
cold,tpch_sf10,q10,2630.000,2653.000,2608.000,0.983038,861409280,849391616,true
cold,tpch_sf10,q11,255.000,236.000,231.000,0.978814,71303168,66748416,true
cold,tpch_sf10,q12,2017.000,2002.000,1955.000,0.976523,706052096,689864704,true
cold,tpch_sf10,q13,2732.000,2840.000,2863.000,1.008099,342388736,341110784,true
cold,tpch_sf10,q14,1694.000,1576.000,1555.000,0.986675,793870336,787021824,true
cold,tpch_sf10,q15,1531.000,1479.000,1478.000,0.999324,633470976,633470976,true
cold,tpch_sf10,q16,437.000,462.000,445.000,0.963203,46759936,45711360,true
cold,tpch_sf10,q17,1655.000,1694.000,1681.000,0.992326,774701056,774701056,true
cold,tpch_sf10,q18,3246.000,3378.000,3343.000,0.989639,567017472,552054784,true
cold,tpch_sf10,q19,2772.000,2364.000,2531.000,1.070643,1095073792,1095696384,true
cold,tpch_sf10,q20,1895.000,1955.000,1955.000,1.000000,897622016,888938496,true
cold,tpch_sf10,q21,3286.000,2685.000,2672.000,0.995158,735637504,726372352,true
cold,tpch_sf10,q22,492.000,526.000,524.000,0.996198,88473600,88473600,true
cold,appian,q01,1303.000,1484.000,1471.000,0.991240,107315200,107577344,true
cold,appian,q02,3180.000,3309.000,3288.000,0.993654,251277312,244776960,true
cold,appian,q03,3036.000,2871.000,2836.000,0.987809,234188800,230486016,true
cold,appian,q04,11278.000,11598.000,11162.000,0.962407,289239040,283242496,true
cold,appian,q05,2031.000,2276.000,2252.000,0.989455,176521216,174161920,true
cold,appian,q06,2200.000,2634.000,2638.000,1.001519,115965952,118587392,true
cold,appian,q07,2174.000,2160.000,2110.000,0.976852,280379392,278319104,true
cold,appian,q08,16999.000,16101.000,16249.000,1.009192,249491456,247361536,true
